condition,condition_label,delta_cost,gap_mad,rank_span,margin_norm,raw_margin_rank,first_clamp,pre_final,final_weight,log_pre_over_upper,upper_clip
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.30434781312942505,1.4329246282577515,0.6614549160003662,0.6614549160003662,2.173352003097534,2.173352003097534,-0.2020062655210495,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.43478262424468994,3.921576738357544,0.3954966962337494,0.3954966962337494,0.9096423983573914,0.9096423983573914,-1.4585566520690918,0.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.21739131212234497,0.36391863226890564,1.3714720010757446,1.3714720010757446,6.308771133422852,2.5,1.3354309797286987,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.34782612323760986,2.441685676574707,0.4978511333465576,0.4978511333465576,1.4313218593597412,1.4313218593597412,-0.80458003282547,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.3913043737411499,0.7427929043769836,1.0472743511199951,1.0472743511199951,2.6763675212860107,2.5,0.09834811836481094,1.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.260869562625885,1.9824941158294678,0.5216843485832214,0.5216843485832214,1.999790072441101,1.999790072441101,-0.32207950949668884,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.08695656061172485,0.21753479540348053,1.5159369707107544,1.5159369707107544,17.43326759338379,2.5,2.8018429279327393,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.47826087474823,0.20988455414772034,2.337667226791382,2.337667226791382,4.887849807739258,2.5,0.9672718048095703,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.52173912525177,0.4524887502193451,1.498924970626831,1.498924970626831,2.8729395866394043,2.5,0.20059961080551147,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.30434781312942505,0.6035855412483215,1.1111960411071777,1.1111960411071777,3.6510729789733887,2.5,0.5463924407958984,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521738767623901,0.6374592781066895,1.2617759704589844,1.2617759704589844,1.9347232580184937,1.9347232580184937,-0.369800865650177,0.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.782608687877655,3.1261115074157715,0.494772732257843,0.494772732257843,0.6322095990180969,0.6322095990180969,-1.9834531545639038,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.5652173757553101,0.43154674768447876,1.5630993843078613,1.5630993843078613,2.7654836177825928,2.5,0.14560367166996002,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.3478260636329651,0.795465350151062,0.9757539629936218,0.9757539629936218,2.805292844772339,2.5,0.16622331738471985,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.695652186870575,1.646220326423645,0.7192948460578918,0.7192948460578918,1.0339863300323486,1.0339863300323486,-1.2737109661102295,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.3913043141365051,1.7659977674484253,0.6228553056716919,0.6228553056716919,1.5917414426803589,1.5917414426803589,-0.6513221263885498,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.739130437374115,0.052672483026981354,5.706797122955322,2.5,3.382352828979492,2.5,0.4360990822315216,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.6086956262588501,1.1870287656784058,0.861190140247345,0.861190140247345,1.414812445640564,1.414812445640564,-0.821317195892334,0.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.43478262424468994,0.5779305696487427,1.247652292251587,1.247652292251587,2.8696000576019287,2.5,0.1989215910434723,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.43478262424468994,1.262519359588623,0.7806859612464905,0.7806859612464905,1.7955776453018188,1.7955776453018188,-0.47748002409935,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.47826087474823,0.6001460552215576,1.2445648908615112,1.2445648908615112,2.6022720336914062,2.5,0.05784368887543678,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.260869562625885,0.4490492641925812,1.2716221809387207,1.2716221809387207,4.874551773071289,2.5,0.9633415341377258,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6086956262588501,0.41517552733421326,1.6174702644348145,1.6174702644348145,2.6572725772857666,2.5,0.08801809698343277,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.739130437374115,2.073476552963257,0.6299818158149719,0.6299818158149719,0.852328360080719,0.852328360080719,-1.5524468421936035,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.52173912525177,1.484181523323059,0.7349414229393005,0.7349414229393005,1.4086377620697021,1.4086377620697021,-0.827627420425415,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.30434781312942505,1.848100185394287,0.5678046941757202,0.5678046941757202,1.865644097328186,1.865644097328186,-0.4222542345523834,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521739363670349,0.5935854315757751,1.316933274269104,1.316933274269104,2.0192975997924805,2.0192975997924805,-0.3080745041370392,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.3478260636329651,0.713362991809845,1.0416617393493652,1.0416617393493652,2.9947776794433594,2.5,0.2605207562446594,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.695652186870575,1.1053073406219482,0.9135026335716248,0.9135026335716248,1.3131600618362427,1.3131600618362427,-0.9288853406906128,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.5652173757553101,0.13439394533634186,3.1475608348846436,2.5,4.42307710647583,2.5,0.8231222629547119,1.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.3913043737411499,1.6305654048919678,0.653398871421814,0.653398871421814,1.6697970628738403,1.6697970628738403,-0.5822553634643555,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.3913043737411499,0.9256390929222107,0.9177325963973999,0.9177325963973999,2.3453164100646973,2.3453164100646973,-0.09214552491903305,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.43478262424468994,0.26326578855514526,1.999777913093567,1.999777913093567,4.599489212036133,2.5,0.8795455694198608,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.21739131212234497,0.11216899007558823,2.7788445949554443,2.5,11.5,2.5,2.201633930206299,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.5652173757553101,0.07829524576663971,4.352706432342529,2.5,4.42307710647583,2.5,0.8231222629547119,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.695652186870575,2.4103569984436035,0.572204053401947,0.572204053401947,0.8225433230400085,0.8225433230400085,-1.603764533996582,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.47826087474823,1.1473013162612915,0.8436561822891235,0.8436561822891235,1.7640084028244019,1.7640084028244019,-0.5030707120895386,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.260869562625885,1.51121985912323,0.6139575242996216,0.6139575242996216,2.353503942489624,2.353503942489624,-0.08711779117584229,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6086956858634949,0.9304657578468323,0.9966793656349182,0.9966793656349182,1.6374017000198364,1.6374017000198364,-0.6105197668075562,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.30434781312942505,1.0502432584762573,0.7970035076141357,0.7970035076141357,2.6187260150909424,2.5,0.06693696230649948,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521739363670349,0.7684270143508911,1.1279561519622803,1.1279561519622803,1.7295327186584473,1.7295327186584473,-0.5315457582473755,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.52173912525177,0.4712742269039154,1.4627845287322998,1.4627845287322998,2.8036704063415527,2.5,0.16538868844509125,1.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.34782612323760986,1.2936850786209106,0.7288130521774292,0.7288130521774292,2.095337390899658,2.095337390899658,-0.2547455430030823,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.52173912525177,0.057792868465185165,5.152477264404297,2.5,4.791666507720947,2.5,0.9385994076728821,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.5652173757553101,0.6045804619789124,1.276823878288269,1.276823878288269,2.2589962482452393,2.2589962482452393,-0.14624623954296112,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.3478260636329651,0.7556772232055664,1.0062624216079712,1.0062624216079712,2.8930046558380127,2.5,0.2106405794620514,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.6956521272659302,0.7895509600639343,1.117818832397461,1.117818832397461,1.6068646907806396,1.6068646907806396,-0.6376796960830688,0.0
source,FFSP100 ckpt @ FFSP100,7.0,7.0,0.8260869383811951,3.278203248977661,0.4827165901660919,0.4827165901660919,0.5843411684036255,0.5843411684036255,-2.0970451831817627,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6086956262588501,0.2794550657272339,2.05110502243042,2.05110502243042,3.3696727752685547,2.5,0.43068045377731323,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.3913043141365051,0.6433736681938171,1.141571283340454,1.141571283340454,2.917349100112915,2.5,0.2227299064397812,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.04347825050354004,0.15209168195724487,1.7153409719467163,1.7153409719467163,39.452850341796875,2.5,3.9801294803619385,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.08695651590824127,1.2047264575958252,0.5428330302238464,0.5428330302238464,6.242580413818359,2.5,1.3202143907546997,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.1304347664117813,0.8678461909294128,0.7158629894256592,0.7158629894256592,5.488283634185791,2.5,1.1344269514083862,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.17391304671764374,0.9850257039070129,0.7110626697540283,0.7110626697540283,4.0886101722717285,2.5,0.7096824049949646,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.21739129722118378,0.5533387064933777,1.0665842294692993,1.0665842294692993,4.906287670135498,2.5,0.972703754901886,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.739130437374115,1.7983119487762451,0.6861648559570312,0.6861648559570312,0.9283406734466553,0.9283406734466553,-1.4292018413543701,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.43478256464004517,1.918089509010315,0.6074323654174805,0.6074323654174805,1.3970946073532104,1.3970946073532104,-0.8394984006881714,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.260869562625885,0.1201944574713707,2.804156541824341,2.5,9.583333015441895,2.5,1.9385994672775269,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.30434781312942505,0.0852992907166481,3.594712495803833,2.5,8.214285850524902,2.5,1.7162070274353027,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.782608687877655,0.09941919893026352,3.9167308807373047,2.5,3.194444417953491,2.5,0.3536369800567627,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521738767623901,1.3391205072402954,0.8082805871963501,0.8082805871963501,1.239363670349121,1.239363670349121,-1.0123285055160522,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.47826087474823,0.4258388876914978,1.5290594100952148,1.5290594100952148,3.1971242427825928,2.5,0.3548467457294464,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.3478260934352875,1.042818546295166,0.8294456601142883,0.8294456601142883,2.3846561908721924,2.3846561908721924,-0.06814680248498917,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.3913043439388275,0.3804452419281006,1.564607858657837,1.564607858657837,3.9984424114227295,2.5,0.6775099635124207,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.17391303181648254,0.22934845089912415,1.7048182487487793,1.7048182487487793,9.802705764770508,2.5,1.9712519645690918,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.52173912525177,0.19547469913959503,2.4802160263061523,2.4802160263061523,4.753747463226318,2.5,0.9271371960639954,1.0
