condition,condition_label,axis,bin,x_mid,y_mean,y_q25,y_q75,count
transfer,FFSP100 ckpt @ FFSP50,margin_norm,19.0,1.9127264022827148,0.24539877300613497,0.0,0.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,20.0,2.086534261703491,0.25153374233128833,0.0,0.5,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,21.0,2.317228317260742,0.11042944785276074,0.0,0.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,22.0,2.64019513130188,0.15337423312883436,0.0,0.0,163.0
transfer,FFSP100 ckpt @ FFSP50,margin_norm,23.0,3.268251895904541,0.11042944785276074,0.0,0.0,163.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,0.0,0.04347825050354004,1.0,1.0,1.0,132.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,1.0,0.08695651590824127,1.0,1.0,1.0,175.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,2.0,0.13043475151062012,0.9719626168224299,1.0,1.0,107.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,3.0,0.1304347962141037,0.96875,1.0,1.0,224.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,4.0,0.17391303181648254,0.8680555555555556,1.0,1.0,144.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,5.0,0.17391306161880493,0.8908045977011494,1.0,1.0,174.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,6.0,0.21739129722118378,0.7166666666666667,0.0,1.0,60.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,7.0,0.21739131212234497,0.8076923076923077,1.0,1.0,182.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,8.0,0.260869562625885,0.6853932584269663,0.0,1.0,267.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,10.0,0.30434781312942505,0.5793357933579336,0.0,1.0,271.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,11.0,0.3478260636329651,0.5240384615384616,0.0,1.0,208.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,12.0,0.3695652186870575,0.4895833333333333,0.0,1.0,96.0
