probe,seed_index,anchor,condition,raw_ess,ess,uniform_mixture,max_over_uniform
5,1,warm,anchor_gap_endpoint,0.47606098922723894,0.4760609893224511,0.0,2.975081453520121
5,1,warm,anchor_hard_endpoint,0.498933879916014,0.4989338800158011,0.0,2.340907642680008
6,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
6,1,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
6,1,scratch,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
6,1,scratch,gap_endpoint,0.9523841584005385,0.9523841584005385,0.0,1.4925395522981364
6,1,scratch,anchor_gap_endpoint,0.47619727968910724,0.4761972797843469,0.0,2.97029702940594
6,1,scratch,anchor_hard_endpoint,0.48851211410797046,0.48851211420567275,0.0,3.0902795251960375
6,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
6,1,warm,anchor_is,0.4999999999999718,0.5000000000999719,0.0,2.0000009057907495
6,1,warm,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
6,1,warm,gap_endpoint,0.9523841584005385,0.9523841584005385,0.0,1.4925395522981364
6,1,warm,anchor_gap_endpoint,0.4761943124494012,0.47619431254464006,0.0,2.9703340160181586
6,1,warm,anchor_hard_endpoint,0.49900440133720353,0.4990044014370046,0.0,2.3372344160076466
7,1,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
7,1,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
7,1,scratch,all_pair_endpoint,0.9999969667349404,0.9999969667349403,0.0,1.0005027652086491
7,1,scratch,gap_endpoint,0.9523865466618702,0.9523865466618702,0.0,1.4925496272751069
7,1,scratch,anchor_gap_endpoint,0.4761972796891073,0.47619727978434667,0.0,2.9702970294059416
7,1,scratch,anchor_hard_endpoint,0.49078960526233734,0.49078960536049543,0.0,3.0148667700873353
7,1,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
7,1,warm,anchor_is,0.49999999999999134,0.5000000000999916,0.0,2.00000093082475
7,1,warm,all_pair_endpoint,0.9999969667349404,0.9999969667349403,0.0,1.0005027652086491
7,1,warm,gap_endpoint,0.9523865466618702,0.9523865466618702,0.0,1.4925496272751069
7,1,warm,anchor_gap_endpoint,0.4761954652784308,0.4761954653736701,0.0,2.970494483851682
7,1,warm,anchor_hard_endpoint,0.49835138269099444,0.49835138279066493,0.0,2.2952342653900546
8,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
8,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
8,2,scratch,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
8,2,scratch,gap_endpoint,0.9523845800585643,0.9523845800585643,0.0,1.4925395522981364
8,2,scratch,anchor_gap_endpoint,0.47619727968910724,0.4761972797843469,0.0,2.9702970294059416
8,2,scratch,anchor_hard_endpoint,0.49133597238308774,0.491335972481355,0.0,2.770567641993309
8,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
8,2,warm,anchor_is,0.4999999999999889,0.500000000099989,0.0,2.0000009320168393
8,2,warm,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
8,2,warm,gap_endpoint,0.9523845800585643,0.9523845800585643,0.0,1.4925395522981364
8,2,warm,anchor_gap_endpoint,0.4761968171493053,0.47619681724454466,0.0,2.9703326428015244
8,2,warm,anchor_hard_endpoint,0.49952347017863885,0.49952347027854344,0.0,2.145492762803122
9,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
9,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
9,2,scratch,all_pair_endpoint,0.9999987999338074,0.9999987999338065,0.0,1.000251319426993
9,2,scratch,gap_endpoint,0.9523851941622372,0.9523851941622372,0.0,1.49254291060868
9,2,scratch,anchor_gap_endpoint,0.4761972796891072,0.47619727978434667,0.0,2.9702970294059408
9,2,scratch,anchor_hard_endpoint,0.4944392322951525,0.4944392323940403,0.0,2.692286026747939
9,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
9,2,warm,anchor_is,0.49999999999999284,0.5000000000999929,0.0,2.00000096420337
9,2,warm,all_pair_endpoint,0.9999987999338074,0.9999987999338065,0.0,1.000251319426993
9,2,warm,gap_endpoint,0.9523851941622372,0.9523851941622372,0.0,1.49254291060868
9,2,warm,anchor_gap_endpoint,0.47619570220663104,0.4761957023018704,0.0,2.9703863314669983
9,2,warm,anchor_hard_endpoint,0.49958134807678056,0.4995813481766968,0.0,2.1759373143898704
10,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
10,2,scratch,anchor_is,0.499999999999712,0.5000000000997118,0.0,2.000015106057644
10,2,scratch,all_pair_endpoint,0.9999979300027526,0.9999979300027526,0.0,1.000452465939371
10,2,scratch,gap_endpoint,0.9523858918605526,0.9523858918605526,0.0,1.492547388379581
10,2,scratch,anchor_gap_endpoint,0.4761972879262292,0.47619728802146866,0.0,2.9702969502635406
10,2,scratch,anchor_hard_endpoint,0.4916920706083024,0.4916920707066407,0.0,2.6525488974414193
10,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
10,2,warm,anchor_is,0.499999999999995,0.5000000000999951,0.0,2.0000009534745335
