subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
all,scratch,scratch,gap_endpoint,one_point,0.43791352844996434,0.008205457687378015,0.040374573650360145,0.1425,0.25,0.006277219185829055,0.9941953061144919,0.975,0.9650000000000001
all,scratch,scratch,gap_endpoint,euclidean_two_point,0.4213957086607816,0.008205457687378015,0.06321230783462514,0.1125,0.25,0.005826612677574051,0.9941953061144919,0.975,0.9650000000000001
all,scratch,scratch,gap_endpoint,fisher_two_point,0.4152951522163305,0.008205457687378015,0.06314685731887808,0.1425,0.25,0.006161757025718565,0.9941953061144919,0.975,0.9650000000000001
all,scratch,warm,gap_endpoint,one_point,0.40223760640966083,0.0015486171722414177,0.0377787135696412,0.0,0.0,0.0010246529479024512,0.9941953061144919,0.975,0.9650000000000001
all,scratch,warm,gap_endpoint,euclidean_two_point,0.3843542386587967,0.0011161869049072237,0.05525530580520639,0.0,0.0,0.0009854421062467378,0.9941953061144919,0.975,0.9650000000000001
all,scratch,warm,gap_endpoint,fisher_two_point,0.37513664823245507,0.0011161869049072237,0.05524712614059455,0.0,0.0,0.0009857432231900908,0.9941953061144919,0.975,0.9650000000000001
all,scratch,scratch,anchor_gap_endpoint,one_point,0.5868918380592366,0.010719831085205023,0.1110457855796813,0.065,0.125,0.004981000824451299,0.9967791278219224,0.9,0.9549999999999998
all,scratch,scratch,anchor_gap_endpoint,euclidean_two_point,0.5921654911991346,0.010719831085205023,0.11422373655319207,0.035625,0.125,0.004786574728011925,0.9967791278219224,0.9,0.9549999999999998
all,scratch,scratch,anchor_gap_endpoint,fisher_two_point,0.5902599281276549,0.010719831085205023,0.13418926557540883,0.035625,0.125,0.004671112567901434,0.9967791278219224,0.9,0.9549999999999998
all,scratch,warm,anchor_gap_endpoint,one_point,0.6024566847226276,0.001270948791503912,0.08921500671386721,0.0,0.0,0.0009386231565474062,0.9967791278219224,0.9,0.9549999999999998
all,scratch,warm,anchor_gap_endpoint,euclidean_two_point,0.606891760343657,0.0016396430969241038,0.09602147459030157,0.0,0.0,0.0010004338865279006,0.9967791278219224,0.9,0.9549999999999998
all,scratch,warm,anchor_gap_endpoint,fisher_two_point,0.6011186309629498,0.001270948791503912,0.10453304815292361,0.0,0.0,0.0009615241618155401,0.9967791278219224,0.9,0.9549999999999998
all,scratch,scratch,anchor_hard_endpoint,one_point,0.5670410512934033,0.010719831085205023,0.11181687786102287,0.065,0.125,0.004981000824451299,0.996512563420641,0.925,0.9550000000000001
all,scratch,scratch,anchor_hard_endpoint,euclidean_two_point,0.5647277583692082,0.010719831085205023,0.11684412851333614,0.035625,0.125,0.004786574728011925,0.996512563420641,0.925,0.9550000000000001
all,scratch,scratch,anchor_hard_endpoint,fisher_two_point,0.568754305244955,0.010719831085205023,0.1348761873817443,0.035625,0.125,0.004786574728011925,0.996512563420641,0.925,0.9550000000000001
all,scratch,warm,anchor_hard_endpoint,one_point,0.5891642575077395,0.001270948791503912,0.08902006502151494,0.0,0.0,0.0009386231565474062,0.996512563420641,0.925,0.9550000000000001
all,scratch,warm,anchor_hard_endpoint,euclidean_two_point,0.5857876735634051,0.0016396430969241038,0.10161514328002937,0.0,0.0,0.0010004338865279006,0.996512563420641,0.925,0.9550000000000001
all,scratch,warm,anchor_hard_endpoint,fisher_two_point,0.5863392463115586,0.0016396430969241038,0.10436672054290777,0.0,0.0,0.0010004338865279006,0.996512563420641,0.925,0.9550000000000001
all,warm,scratch,uniform,one_point,0.3907270997639943,0.008205457687378015,0.05250386209487905,0.15125,0.25,0.06275821796894046,0.9997463072629358,0.95,0.97
all,warm,scratch,uniform,euclidean_two_point,0.38847929737564535,0.008205457687378015,0.05273281600952142,0.19,0.25,0.06304425382661798,0.9997463072629358,0.95,0.97
all,warm,scratch,uniform,fisher_two_point,0.3910412105670753,0.008205457687378015,0.05256210769653311,0.065,0.125,0.004777412957191354,0.9997463072629358,0.95,0.97
all,warm,warm,uniform,one_point,0.3907860945315908,0.0016681964874267763,0.028043471698761,0.125,0.125,0.02731278730535498,0.9997463072629358,0.95,0.97
all,warm,warm,uniform,euclidean_two_point,0.38755160332166666,0.0015486171722414177,0.027921366596221953,0.125,0.125,0.02722192233085623,0.9997463072629358,0.95,0.97
all,warm,warm,uniform,fisher_two_point,0.3902207968407574,0.0016681964874267763,0.027953396873474135,0.0,0.0,0.0010335424933431226,0.9997463072629358,0.95,0.97
all,warm,scratch,anchor_is,one_point,0.6180975310559172,0.008658030700683383,0.11776932847976676,0.035625,0.125,0.004880063325881765,0.9946678148194423,0.875,0.945
all,warm,scratch,anchor_is,euclidean_two_point,0.6204529567510451,0.008658030700683383,0.09527808172225942,0.035625,0.125,0.004880063325881765,0.9946678148194423,0.875,0.945
