subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
seed2,scratch,warm,uniform,euclidean_two_point,0.3119842630457684,0.0013301193237307274,0.05520043220520025,0.125,0.125,0.027225162414550686,0.9976480534988984,0.95,0.9800000000000001
seed2,scratch,warm,uniform,fisher_two_point,0.30051103088196485,0.0012506053924559168,0.05519225254058842,0.0,0.0,0.0010500459094045112,0.9976480534988984,0.95,0.9800000000000001
seed2,scratch,scratch,anchor_is,one_point,0.5934852346122252,0.014666343688964911,0.11189847520828237,0.06875,0.125,0.0050366682624815315,0.9963935173879546,0.925,0.9649999999999999
seed2,scratch,scratch,anchor_is,euclidean_two_point,0.5977631312960734,0.014666343688964911,0.11500949159622184,0.04375,0.125,0.004757416744231993,0.9963935173879546,0.925,0.9649999999999999
seed2,scratch,scratch,anchor_is,fisher_two_point,0.5956801374460883,0.014666343688964911,0.1368912548828124,0.04375,0.125,0.004757416744231993,0.9963935173879546,0.925,0.9649999999999999
seed2,scratch,warm,anchor_is,one_point,0.6085398952012494,0.001703379058838106,0.08932528022766117,0.0,0.0,0.0009352322525976675,0.9963935173879546,0.925,0.9649999999999999
seed2,scratch,warm,anchor_is,euclidean_two_point,0.6120760069935968,0.0016396430969241038,0.09610919174194343,0.0,0.0,0.0009488658833502639,0.9963935173879546,0.925,0.9649999999999999
seed2,scratch,warm,anchor_is,fisher_two_point,0.6058454957114888,0.0016396430969241038,0.11043193204879764,0.0,0.0,0.0009488658833502639,0.9963935173879546,0.925,0.9649999999999999
seed2,scratch,scratch,all_pair_endpoint,one_point,0.408510479581362,0.00787053718566888,0.056228354892730634,0.19375,0.25,0.06306560496950127,0.9972361710581272,0.975,0.975
seed2,scratch,scratch,all_pair_endpoint,euclidean_two_point,0.3915596881744057,0.00787053718566888,0.06238883451461781,0.19375,0.25,0.06306560496950127,0.9972361710581272,0.975,0.975
seed2,scratch,scratch,all_pair_endpoint,fisher_two_point,0.3846368805708996,0.00787053718566888,0.062321899929046506,0.116875,0.25,0.005673694396018869,0.9972361710581272,0.975,0.975
seed2,scratch,warm,all_pair_endpoint,one_point,0.37096656659644706,0.0013301193237307274,0.03460700969696051,0.125,0.125,0.027225162414550686,0.9972361710581272,0.975,0.975
seed2,scratch,warm,all_pair_endpoint,euclidean_two_point,0.3528254546410438,0.0013301193237307274,0.05520043220520025,0.125,0.125,0.027225162414550686,0.9972361710581272,0.975,0.975
seed2,scratch,warm,all_pair_endpoint,fisher_two_point,0.34559738568113674,0.0012177814483642635,0.05517787584304816,0.0,0.0,0.0010500459094045112,0.9972361710581272,0.975,0.975
seed2,scratch,scratch,gap_endpoint,one_point,0.43324977894691685,0.007940211486816118,0.04018400814056398,0.125625,0.25,0.006094326813697721,0.994497614515734,0.975,0.9650000000000001
seed2,scratch,scratch,gap_endpoint,euclidean_two_point,0.41755433670477254,0.007940211486816118,0.0628893572235106,0.125625,0.25,0.005980538018226514,0.994497614515734,0.975,0.9650000000000001
seed2,scratch,scratch,gap_endpoint,fisher_two_point,0.40927298239440557,0.007940211486816118,0.06295629180908191,0.150625,0.25,0.006259824975013608,0.994497614515734,0.975,0.9650000000000001
seed2,scratch,warm,gap_endpoint,one_point,0.3955192926580448,0.0015486171722414177,0.03776433250427254,0.0,0.0,0.0010264981980321565,0.994497614515734,0.975,0.9650000000000001
seed2,scratch,warm,gap_endpoint,euclidean_two_point,0.3800774277535808,0.0012506053924559168,0.05525530143737798,0.0,0.0,0.0009881523823735982,0.994497614515734,0.975,0.9650000000000001
seed2,scratch,warm,gap_endpoint,fisher_two_point,0.3685567490962219,0.0011161869049072237,0.05523274507522589,0.0,0.0,0.000988403313159726,0.994497614515734,0.975,0.9650000000000001
seed2,scratch,scratch,anchor_gap_endpoint,one_point,0.5969117529395829,0.010719831085205023,0.11089468051910392,0.06875,0.125,0.0050366682624815315,0.9966440193499124,0.95,0.95
seed2,scratch,scratch,anchor_gap_endpoint,euclidean_two_point,0.6017936686100311,0.010719831085205023,0.11430790702819815,0.04375,0.125,0.004757416744231993,0.9966440193499124,0.95,0.95
seed2,scratch,scratch,anchor_gap_endpoint,fisher_two_point,0.6018143485262973,0.010719831085205023,0.13418926557540883,0.04375,0.125,0.004757416744231993,0.9966440193499124,0.95,0.95
seed2,scratch,warm,anchor_gap_endpoint,one_point,0.6101560147961227,0.001270948791503912,0.08922106443405156,0.0,0.0,0.0009352322525976675,0.9966440193499124,0.95,0.95
seed2,scratch,warm,anchor_gap_endpoint,euclidean_two_point,0.6144738397267407,0.001270948791503912,0.09599286050796514,0.0,0.0,0.0009488658833502639,0.9966440193499124,0.95,0.95
seed2,scratch,warm,anchor_gap_endpoint,fisher_two_point,0.609853695234402,0.001270948791503912,0.10453304815292361,0.0,0.0,0.0009488658833502639,0.9966440193499124,0.95,0.95
seed2,scratch,scratch,anchor_hard_endpoint,one_point,0.5762210957224809,0.010719831085205023,0.1116657728004455,0.06875,0.125,0.0050366682624815315,0.9964524879704254,0.875,0.96
seed2,scratch,scratch,anchor_hard_endpoint,euclidean_two_point,0.5734090583140083,0.010719831085205023,0.11507899930953973,0.04375,0.125,0.004757416744231993,0.9964524879704254,0.875,0.96
seed2,scratch,scratch,anchor_hard_endpoint,fisher_two_point,0.5785251493261299,0.010719831085205023,0.13672548706054682,0.04375,0.125,0.004871205539703201,0.9964524879704254,0.875,0.96
seed2,scratch,warm,anchor_hard_endpoint,one_point,0.5957171362198732,0.001270948791503912,0.08902612274169927,0.0,0.0,0.0009352322525976675,0.9964524879704254,0.875,0.96
seed2,scratch,warm,anchor_hard_endpoint,euclidean_two_point,0.5931597694329089,0.001270948791503912,0.09579791881561286,0.0,0.0,0.0009488658833502639,0.9964524879704254,0.875,0.96
seed2,scratch,warm,anchor_hard_endpoint,fisher_two_point,0.5934993761618762,0.0016396430969241038,0.11015533092498783,0.0,0.0,0.000987211699008822,0.9964524879704254,0.875,0.96
seed2,warm,scratch,uniform,one_point,0.39175050299689546,0.008205457687378015,0.04094724861145012,0.1675,0.25,0.06281104717254608,0.9997639766638046,0.975,0.95
seed2,warm,scratch,uniform,euclidean_two_point,0.3901424655176226,0.008205457687378015,0.05259415885925287,0.19375,0.25,0.06295181617403008,0.9997639766638046,0.975,0.95
seed2,warm,scratch,uniform,fisher_two_point,0.39162367233433487,0.008205457687378015,0.05259415885925287,0.06875,0.125,0.004717779067993036,0.9997639766638046,0.975,0.95
seed2,warm,warm,uniform,one_point,0.39213748391300407,0.0015692779541014445,0.033246321144104016,0.125,0.125,0.027266559704303653,0.9997639766638046,0.975,0.95
seed2,warm,warm,uniform,euclidean_two_point,0.38955251818104275,0.0013301193237307274,0.027920772476196287,0.125,0.125,0.027186816598892126,0.9997639766638046,0.975,0.95
seed2,warm,warm,uniform,fisher_two_point,0.391401512824034,0.0013301193237307274,0.027920772476196287,0.0,0.0,0.0009963251194951683,0.9997639766638046,0.975,0.95
seed2,warm,scratch,anchor_is,one_point,0.6196169162939515,0.008658030700683383,0.11633318944931019,0.04375,0.125,0.004850905342101833,0.9947678063697829,0.875,0.925
seed2,warm,scratch,anchor_is,euclidean_two_point,0.6206576617809831,0.008658030700683383,0.09384194269180286,0.04375,0.125,0.004850905342101833,0.9947678063697829,0.875,0.925
seed2,warm,scratch,anchor_is,fisher_two_point,0.6285045933879868,0.010719831085205023,0.11823568429946889,0.04375,0.125,0.004757416744231993,0.9947678063697829,0.875,0.925
seed2,warm,warm,anchor_is,one_point,0.6494185840988255,0.0016396430969241038,0.09305397006988525,0.0,0.0,0.0009249874043463946,0.9947678063697829,0.875,0.925
seed2,warm,warm,anchor_is,euclidean_two_point,0.6523722789421276,0.0016396430969241038,0.07783757230758667,0.0,0.0,0.0009249874043463946,0.9947678063697829,0.875,0.925
seed2,warm,warm,anchor_is,fisher_two_point,0.6543524091084929,0.0016396430969241038,0.10129021448135378,0.0,0.0,0.0009488658833502639,0.9947678063697829,0.875,0.925
seed2,warm,scratch,all_pair_endpoint,one_point,0.39627836319983545,0.008205457687378015,0.05311369787216182,0.19375,0.25,0.06295181617403008,0.9998841914685054,0.975,0.9550000000000001
seed2,warm,scratch,all_pair_endpoint,euclidean_two_point,0.39647313421923597,0.008205457687378015,0.05318063245773312,0.19375,0.25,0.06306560496950127,0.9998841914685054,0.975,0.9550000000000001
seed2,warm,scratch,all_pair_endpoint,fisher_two_point,0.39814592950080513,0.008205457687378015,0.05302952739715574,0.06875,0.125,0.004831567863464244,0.9998841914685054,0.975,0.9550000000000001
seed2,warm,warm,all_pair_endpoint,one_point,0.3962306717905635,0.0013301193237307274,0.028039942417144782,0.125,0.125,0.027186816598892126,0.9998841914685054,0.975,0.9550000000000001
seed2,warm,warm,all_pair_endpoint,euclidean_two_point,0.3963330565053745,0.0015486171722414177,0.028062498779296875,0.125,0.125,0.027225162414550686,0.9998841914685054,0.975,0.9550000000000001
seed2,warm,warm,all_pair_endpoint,fisher_two_point,0.3976036230652888,0.0015486171722414177,0.02806855649948121,0.0,0.0,0.0010346709351537265,0.9998841914685054,0.975,0.9550000000000001
seed2,warm,scratch,gap_endpoint,one_point,0.393558439605256,0.008205457687378015,0.048321363468170196,0.06875,0.125,0.005265605097770638,0.9997554358810197,0.975,0.9800000000000001
seed2,warm,scratch,gap_endpoint,euclidean_two_point,0.3905480750538521,0.008205457687378015,0.04786875904083254,0.06875,0.125,0.005265605097770638,0.9997554358810197,0.975,0.9800000000000001
seed2,warm,scratch,gap_endpoint,fisher_two_point,0.391699045761523,0.008205457687378015,0.04773637393951417,0.06875,0.125,0.00515181630229943,0.9997554358810197,0.975,0.9800000000000001
seed2,warm,warm,gap_endpoint,one_point,0.3920463485729095,0.0015662033081054183,0.025945240383148226,0.0,0.0,0.0010299138722417993,0.9997554358810197,0.975,0.9800000000000001
seed2,warm,warm,gap_endpoint,euclidean_two_point,0.391112962911481,0.0015662033081054183,0.025803514080047642,0.0,0.0,0.0010299138722417993,0.9997554358810197,0.975,0.9800000000000001
seed2,warm,warm,gap_endpoint,fisher_two_point,0.39010123154567794,0.001347705459594728,0.025772778053283707,0.0,0.0,0.0009915680565832413,0.9997554358810197,0.975,0.9800000000000001
seed2,warm,scratch,anchor_gap_endpoint,one_point,0.6250954113231298,0.008658030700683383,0.11586750591278065,0.04375,0.125,0.005177216739654418,0.9963673418452365,0.85,0.9149999999999998
seed2,warm,scratch,anchor_gap_endpoint,euclidean_two_point,0.6256196457373737,0.007806019973755074,0.09459481824874867,0.04375,0.125,0.005177216739654418,0.9963673418452365,0.85,0.9149999999999998
seed2,warm,scratch,anchor_gap_endpoint,fisher_two_point,0.6300560456512192,0.008658030700683383,0.11632984447479237,0.16875,0.25,0.007442902679443237,0.9963673418452365,0.85,0.9149999999999998
seed2,warm,warm,anchor_gap_endpoint,one_point,0.6533038850092774,0.0016396430969241038,0.0903254444694519,0.0,0.0,0.0007750832505225402,0.9963673418452365,0.85,0.9149999999999998
seed2,warm,warm,anchor_gap_endpoint,euclidean_two_point,0.6557563356949452,0.0016396430969241038,0.08334375078201298,0.0,0.0,0.0007750832505225402,0.9963673418452365,0.85,0.9149999999999998
seed2,warm,warm,anchor_gap_endpoint,fisher_two_point,0.6565589911218641,0.0016396430969241038,0.09034801528930665,0.0,0.0,0.0008103720612525455,0.9963673418452365,0.85,0.9149999999999998
seed2,warm,scratch,anchor_hard_endpoint,one_point,0.6194691613764499,0.008658030700683383,0.11633318944931019,0.04375,0.125,0.004850905342101833,0.9935661299230115,0.85,0.925
seed2,warm,scratch,anchor_hard_endpoint,euclidean_two_point,0.617829251681863,0.008658030700683383,0.09384194269180286,0.04375,0.125,0.004850905342101833,0.9935661299230115,0.85,0.925
seed2,warm,scratch,anchor_hard_endpoint,fisher_two_point,0.6227712028276956,0.010719831085205023,0.11831583751678457,0.04375,0.125,0.004757416744231993,0.9935661299230115,0.85,0.925
seed2,warm,warm,anchor_hard_endpoint,one_point,0.6487798260856896,0.0016396430969241038,0.09305397006988525,0.0,0.0,0.0009249874043463946,0.9935661299230115,0.85,0.925
seed2,warm,warm,anchor_hard_endpoint,euclidean_two_point,0.6504665532752658,0.0016396430969241038,0.07783757230758667,0.0,0.0,0.0009249874043463946,0.9935661299230115,0.85,0.925
seed2,warm,warm,anchor_hard_endpoint,fisher_two_point,0.6516666893413363,0.0016396430969241038,0.10129217308044436,0.0,0.0,0.0009488658833502639,0.9935661299230115,0.85,0.925
