length,steps,bank,candidate,probe,geometry,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
0.06,30,scratch,0,7,p_euclidean,1.0,3.469446951953614e-18,4.597524617955262e-13,0.008991035477343147,0.0,0.059999999164533684
0.06,30,scratch,0,7,fisher,1.0,2.371692252312041e-20,4.597524617955262e-13,0.009022541612074117,0.0,0.05999281180468456
0.06,30,scratch,0,8,p_euclidean,1.0,3.2526065174565133e-18,4.597524617955262e-13,0.008999294697948487,0.0,0.059999999168405246
0.06,30,scratch,0,8,fisher,1.0,2.541098841762901e-20,4.597524617955262e-13,0.00902996216039869,0.0,0.05999281179827314
0.06,30,scratch,0,9,p_euclidean,1.0,3.0357660829594124e-18,4.597524617955262e-13,0.008992550268778267,0.0,0.059999999298372644
0.06,30,scratch,0,9,fisher,1.0,3.049318610115481e-20,4.597524617955262e-13,0.009023959833142609,0.0,0.05999281532834299
0.06,30,scratch,0,10,p_euclidean,0.9999999999999999,2.0599841277224584e-18,4.28426391585468e-13,0.008984966637530479,0.0,0.05999999960226407
0.06,30,scratch,0,10,fisher,0.9999999999999999,1.6940658945086007e-20,4.597524617955262e-13,0.009017038191228084,0.0,0.05999280862804204
0.06,30,scratch,0,11,p_euclidean,1.0,3.0357660829594124e-18,4.597524617955262e-13,0.008985781220317164,0.0,0.05999999958133692
0.06,30,scratch,0,11,fisher,1.0,2.0328790734103208e-20,4.597524617955262e-13,0.009017734988978171,0.0,0.05999281774910434
0.06,30,scratch,0,12,p_euclidean,1.0,3.903127820947816e-18,4.597524617955262e-13,0.008984678376882977,0.0,0.05999999926657849
0.06,30,scratch,0,12,fisher,1.0,3.3881317890172014e-20,4.597524617955262e-13,0.00901666673968788,0.0,0.05999280574646523
0.06,30,scratch,0,13,p_euclidean,0.9999999999999999,4.0115480381963664e-18,4.597524617955262e-13,0.008992809649144845,0.0,0.05999999875716876
0.06,30,scratch,0,13,fisher,0.9999999999999999,2.964615315390051e-20,2.377074231896259e-13,0.009024092039664712,0.0,0.05999282315351352
0.06,30,scratch,0,14,p_euclidean,1.0,3.2526065174565133e-18,4.597524617955262e-13,0.008987131173252073,0.0,0.05999999957981939
0.06,30,scratch,0,14,fisher,1.0,1.5246593050577406e-20,4.597524617955262e-13,0.00901902289865658,0.0,0.05999280150212879
