dataset,bank,candidate,probe,geometry,steps,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
matched,scratch,1,8,p_euclidean,30,1.0,1.5916157281026244e-12,7.165930175634383e-13,0.009406877316966437,0.0,0.029999742547159626
matched,scratch,1,8,fisher,30,1.0,1.0658141036401503e-14,6.156748288271841e-13,0.009419104990908719,0.0,0.029999270913855833
matched,scratch,1,8,p_euclidean,60,1.0,2.2737367544323206e-12,2.8818196743871094e-12,0.00940680998937854,0.0,0.029999742397094964
matched,scratch,1,8,fisher,60,1.0,1.3322676295501878e-14,1.5590724241135168e-12,0.009419247467713537,0.0,0.029999270247281135
matched,scratch,1,9,initial,0,0.9999999999999998,2.2737367544323206e-13,0.0,0.01,0.0,0.0
matched,scratch,1,9,p_euclidean,30,0.9999999999999998,1.8189894035458565e-12,1.0597640386772467e-12,0.00930745816515308,0.0,0.02999979023838686
matched,scratch,1,9,fisher,30,0.9999999999999998,8.881784197001252e-15,1.0597640386772467e-12,0.009326205472327277,0.0,0.029999206796191946
matched,scratch,1,9,p_euclidean,60,0.9999999999999998,1.5916157281026244e-12,1.105462834986859e-12,0.009307333830617076,0.0,0.029999789984637797
matched,scratch,1,9,fisher,60,0.9999999999999998,1.4210854715202004e-14,1.105462834986859e-12,0.009326404019383575,0.0,0.02999920620409435
matched,scratch,1,10,initial,0,1.0,9.094947017729282e-13,0.0,0.01,0.0,0.0
matched,scratch,1,10,p_euclidean,30,1.0,1.8189894035458565e-12,1.5038532485273093e-12,0.00931588588279616,0.0,0.029999739771770104
matched,scratch,1,10,fisher,30,1.0,1.4210854715202004e-14,7.165930175634383e-13,0.009332143805496662,0.0,0.029999257868251906
matched,scratch,1,10,p_euclidean,60,1.0,1.8189894035458565e-12,1.993641254686984e-12,0.009315786272081175,0.0,0.029999739516569857
matched,scratch,1,10,fisher,60,1.0,1.0658141036401503e-14,1.993641254686984e-12,0.00933232371740595,0.0,0.029999257234615585
matched,scratch,1,11,initial,0,0.9999999999999999,4.547473508864641e-13,0.0,0.01,0.0,0.0
matched,scratch,1,11,p_euclidean,30,0.9999999999999999,1.8189894035458565e-12,6.156748288271841e-13,0.009400934933519603,0.0,0.029999792754574938
matched,scratch,1,11,fisher,30,0.9999999999999999,1.9539925233402755e-14,7.165930175634383e-13,0.009412622289379597,0.0,0.029999351095842917
matched,scratch,1,11,p_euclidean,60,0.9999999999999999,1.8189894035458565e-12,1.993641254686984e-12,0.009400886668357289,0.0,0.02999979255921142
matched,scratch,1,11,fisher,60,0.9999999999999999,1.5987211554602254e-14,1.993641254686984e-12,0.00941277365860374,0.0,0.029999350595680072
matched,scratch,1,12,initial,0,1.0,6.821210263296962e-13,0.0,0.01,0.0,0.0
matched,scratch,1,12,p_euclidean,30,1.0,1.7053025658242404e-12,7.165930175634383e-13,0.009319498044446994,0.0,0.02999978209757229
matched,scratch,1,12,fisher,30,1.0,1.0658141036401503e-14,1.0597640386772467e-12,0.009335315898149048,0.0,0.02999929158392612
matched,scratch,1,12,p_euclidean,60,1.0,1.7053025658242404e-12,1.5590724241135168e-12,0.00931940489948845,0.0,0.029999781930750112
matched,scratch,1,12,fisher,60,1.0,1.0658141036401503e-14,2.447250843813642e-12,0.009335494617991116,0.0,0.029999291051401002
matched,scratch,1,13,initial,0,1.0,9.094947017729282e-13,0.0,0.01,0.0,0.0
matched,scratch,1,13,p_euclidean,30,1.0,1.8189894035458565e-12,7.165930175634383e-13,0.009346412058970228,0.0,0.02999978470706836
matched,scratch,1,13,fisher,30,1.0,1.4210854715202004e-14,1.0597640386772467e-12,0.00936217882392494,0.0,0.029999337414329832
matched,scratch,1,13,p_euclidean,60,1.0,1.8189894035458565e-12,2.447250843813642e-12,0.009346320886122425,0.0,0.029999784498425927
matched,scratch,1,13,fisher,60,1.0,1.4210854715202004e-14,1.105462834986859e-12,0.009362358166561294,0.0,0.0299993368978233
matched,scratch,1,14,initial,0,1.0,2.2737367544323206e-13,0.0,0.01,0.0,0.0
matched,scratch,1,14,p_euclidean,30,1.0,1.2505552149377763e-12,7.165930175634383e-13,0.009452403623917556,0.0,0.029999779498675393
matched,scratch,1,14,fisher,30,1.0,9.769962616701378e-15,7.165930175634383e-13,0.00946398217688491,0.0,0.029999250640841472
matched,scratch,1,14,p_euclidean,60,1.0,1.3642420526593924e-12,1.993641254686984e-12,0.00945234712900955,0.0,0.02999977939949102
matched,scratch,1,14,fisher,60,1.0,1.3322676295501878e-14,1.993641254686984e-12,0.009464123856232,0.0,0.029999250038633674
matched,scratch,1,15,initial,0,1.0,4.547473508864641e-13,0.0,0.01,0.0,0.0
matched,scratch,1,15,p_euclidean,30,1.0,1.4779288903810084e-12,1.160682227413501e-12,0.009350072641211422,0.0,0.02999976012600724
