problem,method,legacy_method,instance_id,instance_index,cost,num_starts,num_augment,checkpoint
ffsp50,USW,loss_only,ffsp50_00063,63,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00064,64,46.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00065,65,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00066,66,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00067,67,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00068,68,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00069,69,54.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00070,70,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00071,71,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00072,72,45.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00073,73,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00074,74,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00075,75,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00076,76,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00077,77,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
