epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
56,1139,,,,,,,,,,,-52.3650016784668,-55.77212142944336
,1140,,,201.93185377120972,,,,,,,,,
,1149,,,,,5633.48126411438,,,,,,,
,1149,,,,15.697717666625977,,,,,,,,
57,1149,,,,,,0.6783381104469299,250.0,0.6783381104469299,-52.41999816894531,-56.42583465576172,,
57,1159,,,,,,,,,,,-52.43000030517578,-55.898590087890625
,1160,,,202.77162551879883,,,,,,,,,
58,1179,,,,,,,,,,,-52.35900115966797,-55.74808120727539
,1180,,,197.8660023212433,,,,,,,,,
,1199,,,,,5552.962303161621,,,,,,,
,1199,,,,35.16674041748047,,,,,,,,
59,1199,,,,,,0.6824012398719788,250.0,0.6824012398719788,-52.34000015258789,-56.8025016784668,,
59,1199,,,,,,,,,,,-52.56800079345703,-55.90412521362305
,1200,,,200.5594766139984,,,,,,,,,
60,1219,,,,,,,,,,,-52.59400177001953,-56.00791549682617
,1220,,,201.75128316879272,,,,,,,,,
61,1239,,,,,,,,,,,-52.685001373291016,-56.04087448120117
,1240,,,203.89503622055054,,,,,,,,,
,1249,,,,,5228.116035461426,,,,,,,
,1249,,,,20.46942710876465,,,,,,,,
62,1249,,,,,,0.6781730055809021,250.0,0.6781730055809021,-52.79999923706055,-57.06416702270508,,
62,1259,,,,,,,,,,,-52.444000244140625,-55.85771179199219
,1260,,,199.93107676506042,,,,,,,,,
63,1279,,,,,,,,,,,-52.435001373291016,-55.86936950683594
,1280,,,196.90360116958618,,,,,,,,,
,1299,,,,,5190.195083618164,,,,,,,
,1299,,,,33.53166580200195,,,,,,,,
64,1299,,,,,,0.680410623550415,250.0,0.680410623550415,-52.21999740600586,-56.505001068115234,,
64,1299,,,,,,,,,,,-52.380001068115234,-55.93162536621094
,1300,,,201.0653839111328,,,,,,,,,
65,1319,,,,,,,,,,,-52.32500076293945,-55.717830657958984
,1320,,,198.89397048950195,,,,,,,,,
66,1339,,,,,,,,,,,-52.46099853515625,-55.85516357421875
,1340,,,202.88225603103638,,,,,,,,,
,1349,,,,,5443.018913269043,,,,,,,
,1349,,,,15.952825546264648,,,,,,,,
67,1349,,,,,,0.6861421465873718,250.0,0.6861421465873718,-52.36000061035156,-56.41166687011719,,
67,1359,,,,,,,,,,,-52.28499984741211,-55.718048095703125
,1360,,,200.75482988357544,,,,,,,,,
68,1379,,,,,,,,,,,-52.43000030517578,-55.956241607666016
,1380,,,201.67778253555298,,,,,,,,,
,1399,,,,,5435.209512710571,,,,,,,
,1399,,,,34.961700439453125,,,,,,,,
69,1399,,,,,,0.6854809522628784,250.0,0.6854809522628784,-51.959999084472656,-55.93333435058594,,
69,1399,,,,,,,,,,,-52.297000885009766,-55.766292572021484
,1400,,,205.40121507644653,,,,,,,,,
70,1419,,,,,,,,,,,-52.257999420166016,-55.63600158691406
,1420,,,202.97122597694397,,,,,,,,,
71,1439,,,,,,,,,,,-52.24300003051758,-55.645538330078125
,1440,,,199.69735312461853,,,,,,,,,
,1449,,,,,5800.308465957642,,,,,,,
,1449,,,,16.599178314208984,,,,,,,,
72,1449,,,,,,0.6898414492607117,250.0,0.6898414492607117,-51.65999984741211,-55.84083557128906,,
72,1459,,,,,,,,,,,-52.178001403808594,-55.691749572753906
,1460,,,201.51666259765625,,,,,,,,,
73,1479,,,,,,,,,,,-52.319000244140625,-55.730831146240234
,1480,,,200.84484457969666,,,,,,,,,
,1499,,,,,5824.272632598877,,,,,,,
,1499,,,,34.375667572021484,,,,,,,,
74,1499,,,,,,0.6919436454772949,250.0,0.6919436454772949,-52.36000061035156,-56.85416793823242,,
74,1499,,,,,,,,,,,-52.44300079345703,-55.843040466308594
,1500,,,204.51348447799683,,,,,,,,,
75,1519,,,,,,,,,,,-52.37099838256836,-55.78208541870117
,1520,,,202.55301189422607,,,,,,,,,
76,1539,,,,,,,,,,,-52.242000579833984,-55.67070770263672
,1540,,,202.6575014591217,,,,,,,,,
,1549,,,,,5594.518423080444,,,,,,,
,1549,,,,17.76266098022461,,,,,,,,
77,1549,,,,,,0.6894176602363586,250.0,0.6894176602363586,-52.07999801635742,-56.393333435058594,,
77,1559,,,,,,,,,,,-52.5,-55.91704559326172
,1560,,,202.08451914787292,,,,,,,,,
78,1579,,,,,,,,,,,-52.388999938964844,-55.79837417602539
,1580,,,207.64292931556702,,,,,,,,,
,1599,,,,,5606.846332550049,,,,,,,
,1599,,,,45.80426216125488,,,,,,,,
79,1599,,,,,,0.689195990562439,250.0,0.689195990562439,-51.81999969482422,-55.9275016784668,,
79,1599,,,,,,,,,,,-52.3849983215332,-55.758705139160156
,1600,,,206.51423931121826,,,,,,,,,
80,1619,,,,,,,,,,,-52.222999572753906,-55.591583251953125
,1620,,,204.08180403709412,,,,,,,,,
81,1639,,,,,,,,,,,-52.3849983215332,-55.81474304199219
,1640,,,202.79302525520325,,,,,,,,,
,1649,,,,,5766.77131652832,,,,,,,
,1649,,,,19.634723663330078,,,,,,,,
82,1649,,,,,,0.683614194393158,250.0,0.683614194393158,-52.39999771118164,-56.526668548583984,,
82,1659,,,,,,,,,,,-52.40399932861328,-55.88608932495117
,1660,,,209.01877164840698,,,,,,,,,
83,1679,,,,,,,,,,,-52.457000732421875,-55.82670974731445
,1680,,,204.7087481021881,,,,,,,,,
,1699,,,,,5776.344299316406,,,,,,,
,1699,,,,35.91609001159668,,,,,,,,
84,1699,,,,,,0.6878507137298584,250.0,0.6878507137298584,-51.81999969482422,-56.16416931152344,,
84,1699,,,,,,,,,,,-52.50400161743164,-55.84925079345703
,1700,,,202.90620827674866,,,,,,,,,
85,1719,,,,,,,,,,,-52.400001525878906,-55.763160705566406
,1720,,,204.39954829216003,,,,,,,,,
86,1739,,,,,,,,,,,-52.38800048828125,-55.75504684448242
,1740,,,207.07097625732422,,,,,,,,,
,1749,,,,,5745.02158164978,,,,,,,
,1749,,,,26.22389793395996,,,,,,,,
87,1749,,,,,,0.6898706555366516,250.0,0.6898706555366516,-51.89999771118164,-56.186668395996094,,
87,1759,,,,,,,,,,,-52.37900161743164,-55.824039459228516
,1760,,,209.2103087902069,,,,,,,,,
88,1779,,,,,,,,,,,-52.630001068115234,-56.0521240234375
,1780,,,210.341655254364,,,,,,,,,
,1799,,,,,5731.391429901123,,,,,,,
,1799,,,,35.86697578430176,,,,,,,,
89,1799,,,,,,0.6880723834037781,250.0,0.6880723834037781,-51.79999923706055,-56.13916778564453,,
89,1799,,,,,,,,,,,-52.45199966430664,-55.9095344543457
,1800,,,206.88359355926514,,,,,,,,,
90,1819,,,,,,,,,,,-52.24800109863281,-55.68608093261719
,1820,,,212.3200716972351,,,,,,,,,
91,1839,,,,,,,,,,,-52.25899887084961,-55.69166946411133
,1840,,,244.73553776741028,,,,,,,,,
,1849,,,,,7932.563304901123,,,,,,,
,1849,,,,21.33464813232422,,,,,,,,
