epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,,1299,,,,41.100263595581055,,,,,,
40,,1299,,,,,,0.6853744983673096,-92.65625,-96.45182800292969,,
40,,1311,,,,,,,,,-92.25499725341797,-95.54637145996094
,,1312,,,490.63438391685486,,,,,,,
,0.0001,1312,,,,,,,,,,
41,,1343,,,,,,,,,-92.23699951171875,-95.59929656982422
,,1344,,,443.8377549648285,,,,,,,
,0.0001,1344,,,,,,,,,,
,,1349,,,,,7855.28039932251,,,,,
,,1349,,,,25.14815330505371,,,,,,
42,,1349,,,,,,0.6822916865348816,-92.0625,-96.09114837646484,,
42,,1375,,,,,,,,,-92.2300033569336,-95.68721008300781
,,1376,,,461.58510851860046,,,,,,,
,0.0001,1376,,,,,,,,,,
,,1399,,,,,7504.575729370117,,,,,
,,1399,,,,38.007259368896484,,,,,,
43,,1399,,,,,,0.6886300444602966,-92.78125,-97.0078125,,
43,,1407,,,,,,,,,-92.08999633789062,-95.4592514038086
,,1408,,,456.3785789012909,,,,,,,
,0.0001,1408,,,,,,,,,,
44,,1439,,,,,,,,,-92.2040023803711,-95.517578125
,,1440,,,458.0265009403229,,,,,,,
,0.0001,1440,,,,,,,,,,
,,1449,,,,,7684.579849243164,,,,,
,,1449,,,,25.69413185119629,,,,,,
45,,1449,,,,,,0.686189591884613,-92.96875,-97.20182800292969,,
45,,1471,,,,,,,,,-92.2750015258789,-95.58074951171875
,,1472,,,458.10736870765686,,,,,,,
,0.0001,1472,,,,,,,,,,
,,1499,,,,,7922.861814498901,,,,,
,,1499,,,,39.70527648925781,,,,,,
46,,1499,,,,,,0.6863011717796326,-91.96875,-96.1796875,,
46,,1503,,,,,,,,,-92.22000122070312,-95.58124542236328
,,1504,,,458.61032700538635,,,,,,,
,0.0001,1504,,,,,,,,,,
47,,1535,,,,,,,,,-92.23400115966797,-95.58973693847656
,,1536,,,454.84797286987305,,,,,,,
,0.0001,1536,,,,,,,,,,
,,1549,,,,,7301.276445388794,,,,,
,,1549,,,,24.117469787597656,,,,,,
48,,1549,,,,,,0.687631368637085,-91.9375,-96.03515625,,
48,,1567,,,,,,,,,-92.11799621582031,-95.55008697509766
,,1568,,,459.36804699897766,,,,,,,
,0.0001,1568,,,,,,,,,,
,,1599,,,,,7279.488801956177,,,,,
,,1599,,,,38.05971145629883,,,,,,
49,,1599,,,,,,0.6869645118713379,-94.0,-97.63021087646484,,
49,,1599,,,,,,,,,-92.18000030517578,-95.46733093261719
,,1600,,,451.87231159210205,,,,,,,
,0.0001,1600,,,,,,,,,,
50,,1631,,,,,,,,,-92.12100219726562,-95.4588394165039
,,1632,,,457.284184217453,,,,,,,
,0.0001,1632,,,,,,,,,,
,,1649,,,,,9199.708938598633,,,,,
,,1649,,,,24.883031845092773,,,,,,
51,,1649,,,,,,0.6893149614334106,-92.9375,-96.99609375,,
51,,1663,,,,,,,,,-92.20700073242188,-95.52538299560547
,,1664,,,531.4644348621368,,,,,,,
,0.0001,1664,,,,,,,,,,
52,,1695,,,,,,,,,-92.13400268554688,-95.47265625
,,1696,,,455.93553042411804,,,,,,,
,0.0001,1696,,,,,,,,,,
,,1699,,,,,7339.378118515015,,,,,
,,1699,,,,37.7504825592041,,,,,,
53,,1699,,,,,,0.6810753345489502,-92.0625,-96.20703125,,
53,,1727,,,,,,,,,-92.02200317382812,-95.41549682617188
,,1728,,,455.70263671875,,,,,,,
,0.0001,1728,,,,,,,,,,
,,1749,,,,,10278.980016708374,,,,,
,,1749,,,,25.653600692749023,,,,,,
54,,1749,,,,,,0.6883858442306519,-92.78125,-96.77604675292969,,
54,,1759,,,,,,,,,-92.11399841308594,-95.40311431884766
,,1760,,,559.5768308639526,,,,,,,
,0.0001,1760,,,,,,,,,,
55,,1791,,,,,,,,,-92.01699829101562,-95.34111785888672
,,1792,,,590.9499759674072,,,,,,,
,0.0001,1792,,,,,,,,,,
,,1799,,,,,9395.674228668213,,,,,
,,1799,,,,38.07687759399414,,,,,,
56,,1799,,,,,,0.6901866793632507,-92.8125,-96.98698425292969,,
56,,1823,,,,,,,,,-92.26300048828125,-95.60932922363281
,,1824,,,601.1862478256226,,,,,,,
,0.0001,1824,,,,,,,,,,
,,1849,,,,,10246.883392333984,,,,,
,,1849,,,,24.874210357666016,,,,,,
57,,1849,,,,,,0.6844161748886108,-92.0625,-96.25651550292969,,
57,,1855,,,,,,,,,-92.1259994506836,-95.46099090576172
,,1856,,,601.4494786262512,,,,,,,
,0.0001,1856,,,,,,,,,,
58,,1887,,,,,,,,,-92.19100189208984,-95.49301147460938
,,1888,,,469.37937355041504,,,,,,,
,0.0001,1888,,,,,,,,,,
,,1899,,,,,7903.846025466919,,,,,
,,1899,,,,40.74382781982422,,,,,,
59,,1899,,,,,,0.6850249171257019,-93.15625,-97.2265625,,
59,,1919,,,,,,,,,-92.19300079345703,-95.59574127197266
,,1920,,,459.29126834869385,,,,,,,
,0.0001,1920,,,,,,,,,,
,,1949,,,,,7463.321924209595,,,,,
,,1949,,,,24.79076385498047,,,,,,
60,,1949,,,,,,0.686301052570343,-92.5625,-96.25521087646484,,
60,,1951,,,,,,,,,-92.03900146484375,-95.44499969482422
,,1952,,,471.24885082244873,,,,,,,
,0.0001,1952,,,,,,,,,,
61,,1983,,,,,,,,,-92.15399932861328,-95.53987121582031
,,1984,,,447.81713008880615,,,,,,,
,0.0001,1984,,,,,,,,,,
,,1999,,,,,8533.353090286255,,,,,
,,1999,,,,40.360450744628906,,,,,,
62,,1999,,,,,,0.6868903040885925,-92.3125,-96.61067962646484,,
62,,2015,,,,,,,,,-92.13099670410156,-95.54325866699219
,,2016,,,455.7208685874939,,,,,,,
,0.0001,2016,,,,,,,,,,
63,,2047,,,,,,,,,-92.11000061035156,-95.49836730957031
,,2048,,,479.2610857486725,,,,,,,
,0.0001,2048,,,,,,,,,,
,,2049,,,,,10201.241970062256,,,,,
,,2049,,,,26.27253532409668,,,,,,
64,,2049,,,,,,0.6905360817909241,-91.5,-95.62109375,,
64,,2079,,,,,,,,,-91.93900299072266,-95.2884521484375
,,2080,,,522.2563927173615,,,,,,,
,0.0001,2080,,,,,,,,,,
,,2099,,,,,7820.575475692749,,,,,
,,2099,,,,38.86103630065918,,,,,,
65,,2099,,,,,,0.6866753101348877,-92.28125,-96.34505462646484,,
65,,2111,,,,,,,,,-92.1760025024414,-95.5003662109375
,,2112,,,455.44466495513916,,,,,,,
,0.0001,2112,,,,,,,,,,
66,,2143,,,,,,,,,-92.01000213623047,-95.35699462890625
,,2144,,,461.6086263656616,,,,,,,
,0.0001,2144,,,,,,,,,,
,,2149,,,,,7714.609861373901,,,,,
,,2149,,,,25.19822120666504,,,,,,
67,,2149,,,,,,0.6893580555915833,-93.03125,-97.35677337646484,,
67,,2175,,,,,,,,,-92.09100341796875,-95.38641357421875
,,2176,,,459.4941864013672,,,,,,,
,0.0001,2176,,,,,,,,,,
,,2199,,,,,8104.900598526001,,,,,
,,2199,,,,41.170358657836914,,,,,,
68,,2199,,,,,,0.6875707507133484,-91.9375,-96.0,,
68,,2207,,,,,,,,,-92.25199890136719,-95.56317901611328
,,2208,,,461.83137226104736,,,,,,,
,0.0001,2208,,,,,,,,,,
69,,2239,,,,,,,,,-92.10900115966797,-95.37554931640625
,,2240,,,463.5728921890259,,,,,,,
,0.0001,2240,,,,,,,,,,
