subset,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
seed2,warm,uniform,euclidean_two_point,0.8553998802991026,0.001449698638916086,0.05841830881118779,0.0,0.0,0.001085899011611935,0.9962985672663658,0.925,0.945
seed2,warm,uniform,fisher_two_point,0.863162584826359,0.0011330081939702197,0.06659741300582893,0.0,0.0,0.001047553195953377,0.9962985672663658,0.925,0.945
seed2,scratch,mid_s010,one_point,0.6358659078330653,0.008945275115966655,0.04902533840179446,0.153125,0.25,0.007444317871093593,0.9936330262196053,0.825,0.9199999999999999
seed2,scratch,mid_s010,euclidean_two_point,0.6502331981150433,0.008945275115966655,0.05617056846618649,0.153125,0.25,0.007444317871093593,0.9936330262196053,0.825,0.9199999999999999
seed2,scratch,mid_s010,fisher_two_point,0.6378809510169366,0.008945275115966655,0.05039500255584719,0.153125,0.25,0.007444317871093593,0.9936330262196053,0.825,0.9199999999999999
seed2,warm,mid_s010,one_point,0.6624794502154134,0.001703379058838106,0.0421333179283143,0.0,0.0,0.0009126739139557571,0.9936330262196053,0.825,0.9199999999999999
seed2,warm,mid_s010,euclidean_two_point,0.6796382450097768,0.001287770080566908,0.044887392101287914,0.0,0.0,0.0009126739139557571,0.9936330262196053,0.825,0.9199999999999999
seed2,warm,mid_s010,fisher_two_point,0.6660678432474467,0.001703379058838106,0.05035642614364635,0.0,0.0,0.0009126739139557571,0.9936330262196053,0.825,0.9199999999999999
seed2,scratch,mid_s020,one_point,0.6758418193314127,0.008658030700683383,0.048577243328094454,0.163125,0.25,0.0074542575302122315,0.997169567842734,0.9,0.9299999999999999
seed2,scratch,mid_s020,euclidean_two_point,0.6824384856157489,0.008564367294311648,0.0484949648475647,0.163125,0.25,0.0074542575302122315,0.997169567842734,0.9,0.9299999999999999
seed2,scratch,mid_s020,fisher_two_point,0.6795020495094114,0.008658030700683383,0.04987548160552975,0.163125,0.25,0.0074542575302122315,0.997169567842734,0.9,0.9299999999999999
seed2,warm,mid_s020,one_point,0.6963714034298414,0.0016396430969241038,0.04203230415344246,0.0,0.0,0.0008792970848084325,0.997169567842734,0.9,0.9299999999999999
seed2,warm,mid_s020,euclidean_two_point,0.7026040037765575,0.0016396430969241038,0.04205088262557992,0.0,0.0,0.0008792970848084325,0.997169567842734,0.9,0.9299999999999999
seed2,warm,mid_s020,fisher_two_point,0.6993896968424969,0.0016396430969241038,0.05024381650924692,0.0,0.0,0.0008792970848084325,0.997169567842734,0.9,0.9299999999999999
seed2,scratch,mid_s035,one_point,0.7795886279593542,0.008470703887939912,0.05481384498596187,0.038125,0.125,0.005588500251293006,0.9990114003656074,0.9,0.97
seed2,scratch,mid_s035,euclidean_two_point,0.7839245330373508,0.008470703887939912,0.05503040056228632,0.046875,0.125,0.005733456579685037,0.9990114003656074,0.9,0.97
