probe,seed_index,condition,raw_ess,ess,uniform_mixture,max_over_uniform
2,1,best_s025,0.4427929650361167,0.4427929650361167,0.0,3.1728180102351025
2,1,best_s040,0.6896536325890468,0.689653632589047,0.0,2.0187097905526254
2,1,tails_s010,0.3593226393320703,0.4,0.08279116132329495,3.635713158005967
2,1,tails_s020,0.7075676056518183,0.7075676056518183,0.0,1.9750735343081158
2,1,tails_s035,0.9852023822484561,0.9852023822484567,0.0,1.1636666708446626
3,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
3,1,mid_s010,0.35094555664912286,0.4,0.09941452148814596,3.7238978780476772
3,1,mid_s020,0.6860109529457843,0.686010952945784,0.0,2.0377592770705366
3,1,mid_s035,0.9278179896954416,0.9278179896954414,0.0,1.3528046629205135
3,1,best_s015,0.26738293199188534,0.4000000000000001,0.2600984212688479,4.131554128422081
3,1,best_s025,0.4427929650361168,0.4427929650361167,0.0,3.1728180102351025
3,1,best_s040,0.6896536325890469,0.6896536325890469,0.0,2.018709790552626
3,1,tails_s010,0.3593226393320702,0.4,0.08279116132329485,3.6357131580059674
3,1,tails_s020,0.7075676056518181,0.7075676056518181,0.0,1.9750735343081163
3,1,tails_s035,0.9852023822484562,0.9852023822484562,0.0,1.1636666708446628
4,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
4,1,mid_s010,0.3509455566491227,0.3999999999999998,0.09941452148814596,3.723897878047678
4,1,mid_s020,0.686010952945784,0.686010952945784,0.0,2.0377592770705366
4,1,mid_s035,0.9278179896954412,0.9278179896954416,0.0,1.3528046629205133
4,1,best_s015,0.26738293199188523,0.4,0.2600984212688477,4.131554128422081
4,1,best_s025,0.4427929650361168,0.4427929650361168,0.0,3.1728180102351025
4,1,best_s040,0.689653632589047,0.689653632589047,0.0,2.0187097905526254
4,1,tails_s010,0.3593226393320702,0.3999999999999998,0.08279116132329495,3.6357131580059674
4,1,tails_s020,0.7075676056518181,0.7075676056518183,0.0,1.9750735343081158
4,1,tails_s035,0.9852023822484567,0.9852023822484567,0.0,1.1636666708446626
5,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
5,1,mid_s010,0.3509455566491229,0.4000000000000001,0.09941452148814606,3.7238978780476764
5,1,mid_s020,0.686010952945784,0.686010952945784,0.0,2.0377592770705366
5,1,mid_s035,0.9278179896954416,0.9278179896954413,0.0,1.3528046629205135
5,1,best_s015,0.2673829319918854,0.4,0.2600984212688477,4.131554128422081
5,1,best_s025,0.4427929650361167,0.4427929650361167,0.0,3.1728180102351025
5,1,best_s040,0.6896536325890469,0.6896536325890472,0.0,2.0187097905526254
5,1,tails_s010,0.3593226393320702,0.4,0.08279116132329507,3.635713158005967
5,1,tails_s020,0.7075676056518183,0.7075676056518183,0.0,1.9750735343081158
5,1,tails_s035,0.9852023822484568,0.9852023822484565,0.0,1.1636666708446628
6,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
6,1,mid_s010,0.3509455566491227,0.4000000000000002,0.09941452148814618,3.723897878047676
6,1,mid_s020,0.6860109529457843,0.686010952945784,0.0,2.0377592770705366
6,1,mid_s035,0.9278179896954414,0.9278179896954417,0.0,1.3528046629205133
6,1,best_s015,0.2673829319918854,0.4,0.26009842126884786,4.131554128422081
6,1,best_s025,0.4427929650361166,0.44279296503611676,0.0,3.172818010235102
6,1,best_s040,0.6896536325890469,0.6896536325890469,0.0,2.018709790552626
6,1,tails_s010,0.35932263933207026,0.3999999999999998,0.08279116132329495,3.6357131580059674
6,1,tails_s020,0.707567605651818,0.707567605651818,0.0,1.9750735343081163
6,1,tails_s035,0.985202382248457,0.9852023822484567,0.0,1.1636666708446626
7,1,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
7,1,mid_s010,0.35094555664912286,0.4,0.09941452148814596,3.7238978780476772
7,1,mid_s020,0.686010952945784,0.686010952945784,0.0,2.0377592770705366
7,1,mid_s035,0.9278179896954417,0.9278179896954417,0.0,1.3528046629205133
7,1,best_s015,0.26738293199188534,0.3999999999999999,0.2600984212688477,4.131554128422082
7,1,best_s025,0.4427929650361168,0.4427929650361166,0.0,3.1728180102351025
7,1,best_s040,0.6896536325890469,0.6896536325890469,0.0,2.018709790552626
7,1,tails_s010,0.3593226393320703,0.4,0.08279116132329507,3.635713158005967
7,1,tails_s020,0.7075676056518181,0.7075676056518181,0.0,1.9750735343081163
7,1,tails_s035,0.9852023822484567,0.9852023822484562,0.0,1.1636666708446628
8,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
8,2,mid_s010,0.35094555664912297,0.4,0.09941452148814618,3.7238978780476764
8,2,mid_s020,0.6860109529457842,0.686010952945784,0.0,2.0377592770705366
8,2,mid_s035,0.9278179896954416,0.9278179896954416,0.0,1.3528046629205135
8,2,best_s015,0.26738293199188534,0.4,0.26009842126884786,4.131554128422081
8,2,best_s025,0.4427929650361167,0.4427929650361167,0.0,3.1728180102351025
8,2,best_s040,0.6896536325890472,0.6896536325890472,0.0,2.0187097905526254
8,2,tails_s010,0.35932263933207026,0.3999999999999998,0.08279116132329485,3.6357131580059683
8,2,tails_s020,0.7075676056518182,0.7075676056518182,0.0,1.9750735343081158
8,2,tails_s035,0.985202382248457,0.985202382248457,0.0,1.1636666708446624
9,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
