epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,1140,,,175.5634114742279,,,,,,,
,1149,,,,,4896.48699760437,,,,,
,1149,,,,11.825084686279297,,,,,,
57,1149,,,,,,-2.3916380405426025,-51.68000030517578,-55.602500915527344,,
57,1159,,,,,,,,,-52.172000885009766,-55.343746185302734
,1160,,,178.71061992645264,,,,,,,
58,1179,,,,,,,,,-52.138999938964844,-55.436622619628906
,1180,,,179.77874636650085,,,,,,,
,1199,,,,,4981.592416763306,,,,,
,1199,,,,25.854110717773438,,,,,,
59,1199,,,,,,-1.8534899950027466,-51.86000061035156,-55.87916946411133,,
59,1199,,,,,,,,,-52.191001892089844,-55.3836669921875
,1200,,,177.04685950279236,,,,,,,
60,1219,,,,,,,,,-52.292999267578125,-55.43208312988281
,1220,,,175.94438910484314,,,,,,,
61,1239,,,,,,,,,-52.347999572753906,-55.40716552734375
,1240,,,177.78942036628723,,,,,,,
,1249,,,,,4784.424543380737,,,,,
,1249,,,,11.41977310180664,,,,,,
62,1249,,,,,,-0.9238712787628174,-52.23999786376953,-56.18833541870117,,
62,1259,,,,,,,,,-52.31700134277344,-55.43550491333008
,1260,,,180.59573221206665,,,,,,,
63,1279,,,,,,,,,-52.27399826049805,-55.39237594604492
,1280,,,177.04251718521118,,,,,,,
,1299,,,,,4632.208347320557,,,,,
,1299,,,,24.602651596069336,,,,,,
64,1299,,,,,,-2.177110195159912,-51.73999786376953,-55.624168395996094,,
64,1299,,,,,,,,,-52.23500061035156,-55.40896224975586
,1300,,,177.31364178657532,,,,,,,
65,1319,,,,,,,,,-52.22100067138672,-55.45249938964844
,1320,,,180.18234133720398,,,,,,,
66,1339,,,,,,,,,-52.18600082397461,-55.42958450317383
,1340,,,178.47231698036194,,,,,,,
,1349,,,,,5094.920873641968,,,,,
,1349,,,,12.250185012817383,,,,,,
67,1349,,,,,,-0.33158743381500244,-51.86000061035156,-55.90833282470703,,
67,1359,,,,,,,,,-52.00600051879883,-55.27279281616211
,1360,,,177.77014112472534,,,,,,,
68,1379,,,,,,,,,-52.14699935913086,-55.330387115478516
,1380,,,179.4475154876709,,,,,,,
,1399,,,,,4908.046007156372,,,,,
,1399,,,,25.30384063720703,,,,,,
69,1399,,,,,,-1.6749365329742432,-51.119998931884766,-55.40999984741211,,
69,1399,,,,,,,,,-52.19300079345703,-55.29249572753906
,1400,,,181.4880769252777,,,,,,,
70,1419,,,,,,,,,-52.14400100708008,-55.37083435058594
,1420,,,179.40602493286133,,,,,,,
71,1439,,,,,,,,,-52.35499954223633,-55.54729080200195
,1440,,,179.7248866558075,,,,,,,
,1449,,,,,5346.263647079468,,,,,
,1449,,,,12.885570526123047,,,,,,
72,1449,,,,,,-1.3276790380477905,-51.68000030517578,-55.56666946411133,,
72,1459,,,,,,,,,-52.303001403808594,-55.5020751953125
,1460,,,180.30495357513428,,,,,,,
73,1479,,,,,,,,,-52.24100112915039,-55.4302978515625
,1480,,,177.67359900474548,,,,,,,
,1499,,,,,5141.121387481689,,,,,
,1499,,,,228.48153114318848,,,,,,
74,1499,,,,,,-2.269747257232666,-51.84000015258789,-56.08500289916992,,
74,1499,,,,,,,,,-52.28900146484375,-55.413753509521484
,1500,,,180.78824639320374,,,,,,,
75,1519,,,,,,,,,-52.2130012512207,-55.35499954223633
,1520,,,183.8280918598175,,,,,,,
76,1539,,,,,,,,,-52.24800109863281,-55.33128356933594
,1540,,,184.89422225952148,,,,,,,
,1549,,,,,5043.782711029053,,,,,
,1549,,,,12.412786483764648,,,,,,
77,1549,,,,,,-1.9616321325302124,-51.73999786376953,-55.71833419799805,,
77,1559,,,,,,,,,-52.20600128173828,-55.34566879272461
,1560,,,183.02690172195435,,,,,,,
78,1579,,,,,,,,,-52.15399932861328,-55.31004333496094
,1580,,,182.18500924110413,,,,,,,
,1599,,,,,4784.188508987427,,,,,
,1599,,,,24.987220764160156,,,,,,
79,1599,,,,,,-1.2216923236846924,-51.13999938964844,-55.130001068115234,,
79,1599,,,,,,,,,-52.117000579833984,-55.25453567504883
,1600,,,181.55423998832703,,,,,,,
80,1619,,,,,,,,,-52.14799880981445,-55.300289154052734
,1620,,,181.2984926700592,,,,,,,
81,1639,,,,,,,,,-52.0620002746582,-55.24733352661133
,1640,,,178.4851803779602,,,,,,,
,1649,,,,,5198.744297027588,,,,,
,1649,,,,12.886762619018555,,,,,,
82,1649,,,,,,-1.0140029191970825,-51.73999786376953,-55.731666564941406,,
82,1659,,,,,,,,,-52.15599822998047,-55.285423278808594
,1660,,,179.4300696849823,,,,,,,
83,1679,,,,,,,,,-52.111000061035156,-55.27116775512695
,1680,,,179.8967308998108,,,,,,,
,1699,,,,,5048.838138580322,,,,,
,1699,,,,27.21428871154785,,,,,,
84,1699,,,,,,-1.604378342628479,-51.29999923706055,-55.36166763305664,,
84,1699,,,,,,,,,-52.15399932861328,-55.26458740234375
,1700,,,178.7236762046814,,,,,,,
85,1719,,,,,,,,,-52.1150016784668,-55.212623596191406
,1720,,,178.46260738372803,,,,,,,
86,1739,,,,,,,,,-52.097999572753906,-55.22633743286133
,1740,,,236.55482006072998,,,,,,,
,1749,,,,,6540.11869430542,,,,,
,1749,,,,12.322425842285156,,,,,,
87,1749,,,,,,-1.7095292806625366,-51.34000015258789,-55.228336334228516,,
87,1759,,,,,,,,,-52.104000091552734,-55.221797943115234
,1760,,,239.41869688034058,,,,,,,
88,1779,,,,,,,,,-52.04600143432617,-55.1724967956543
,1780,,,236.66613173484802,,,,,,,
,1799,,,,,6290.828466415405,,,,,
,1799,,,,25.342941284179688,,,,,,
