epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
,1520,,,209.92937660217285,,,,,,,,,
76,1539,,,,,,,,,,,-52.0620002746582,-55.31045913696289
,1540,,,199.76903200149536,,,,,,,,,
,1549,,,,,5308.609247207642,,,,,,,
,1549,,,,18.49508285522461,,,,,,,,
77,1549,,,,,,-0.7607660889625549,-51.619998931884766,-0.7607660889625549,0.42357638478279114,-55.68416976928711,,
77,1559,,,,,,,,,,,-52.005001068115234,-55.29212951660156
,1560,,,198.0645236968994,,,,,,,,,
78,1579,,,,,,,,,,,-52.03099822998047,-55.22378921508789
,1580,,,227.5389440059662,,,,,,,,,
,1599,,,,,5430.309534072876,,,,,,,
,1599,,,,33.69474411010742,,,,,,,,
79,1599,,,,,,-0.8106996417045593,-51.15999984741211,-0.8106996417045593,0.4211805760860443,-55.13666915893555,,
79,1599,,,,,,,,,,,-51.99599838256836,-55.26229476928711
,1600,,,210.4582576751709,,,,,,,,,
80,1619,,,,,,,,,,,-51.9119987487793,-55.195411682128906
,1620,,,218.81119394302368,,,,,,,,,
81,1639,,,,,,,,,,,-51.9739990234375,-55.157752990722656
,1640,,,194.32282733917236,,,,,,,,,
,1649,,,,,5552.497148513794,,,,,,,
,1649,,,,19.772768020629883,,,,,,,,
82,1649,,,,,,-0.3287244141101837,-51.36000061035156,-0.3287244141101837,0.42190971970558167,-55.6683349609375,,
82,1659,,,,,,,,,,,-51.9109992980957,-55.168827056884766
,1660,,,196.0571267604828,,,,,,,,,
83,1679,,,,,,,,,,,-51.89899826049805,-55.135494232177734
,1680,,,195.2006516456604,,,,,,,,,
,1699,,,,,5478.70135307312,,,,,,,
,1699,,,,38.652896881103516,,,,,,,,
84,1699,,,,,,-0.8808635473251343,-51.15999984741211,-0.8808635473251343,0.4231944680213928,-55.394168853759766,,
84,1699,,,,,,,,,,,-51.952999114990234,-55.160335540771484
,1700,,,205.779132604599,,,,,,,,,
85,1719,,,,,,,,,,,-51.933998107910156,-55.14066696166992
,1720,,,199.11564874649048,,,,,,,,,
86,1739,,,,,,,,,,,-51.89099884033203,-55.116249084472656
,1740,,,198.97486472129822,,,,,,,,,
,1749,,,,,5669.6038246154785,,,,,,,
,1749,,,,19.041061401367188,,,,,,,,
87,1749,,,,,,-0.5659741759300232,-51.21999740600586,-0.5659741759300232,0.4230555593967438,-55.17583465576172,,
87,1759,,,,,,,,,,,-51.97999954223633,-55.17428970336914
,1760,,,205.74554920196533,,,,,,,,,
88,1779,,,,,,,,,,,-52.0,-55.192039489746094
,1780,,,201.1516945362091,,,,,,,,,
,1799,,,,,5174.06439781189,,,,,,,
,1799,,,,40.186405181884766,,,,,,,,
89,1799,,,,,,-0.15359298884868622,-50.79999923706055,-0.15359298884868622,0.42395833134651184,-54.97916793823242,,
89,1799,,,,,,,,,,,-51.90599822998047,-55.1351203918457
,1800,,,225.0968041419983,,,,,,,,,
90,1819,,,,,,,,,,,-51.91400146484375,-55.16258239746094
,1820,,,239.10043954849243,,,,,,,,,
91,1839,,,,,,,,,,,-51.983001708984375,-55.172245025634766
,1840,,,200.68187832832336,,,,,,,,,
,1849,,,,,5128.521680831909,,,,,,,
,1849,,,,14.954805374145508,,,,,,,,
92,1849,,,,,,-0.5545549392700195,-51.619998931884766,-0.5545549392700195,0.41750001907348633,-55.42250061035156,,
92,1859,,,,,,,,,,,-51.88800048828125,-55.127540588378906
,1860,,,197.168687582016,,,,,,,,,
93,1879,,,,,,,,,,,-51.944000244140625,-55.15620422363281
,1880,,,198.05918192863464,,,,,,,,,
,1899,,,,,5242.54035949707,,,,,,,
,1899,,,,39.25156593322754,,,,,,,,
94,1899,,,,,,-0.6529123187065125,-51.05999755859375,-0.6529123187065125,0.42364585399627686,-55.11916732788086,,
94,1899,,,,,,,,,,,-51.9630012512207,-55.1612548828125
,1900,,,199.6771674156189,,,,,,,,,
95,1919,,,,,,,,,,,-51.856998443603516,-55.07320785522461
,1920,,,194.56431412696838,,,,,,,,,
96,1939,,,,,,,,,,,-51.97800064086914,-55.112300872802734
,1940,,,195.01989769935608,,,,,,,,,
,1949,,,,,5529.344081878662,,,,,,,
,1949,,,,22.011518478393555,,,,,,,,
97,1949,,,,,,-0.5653983950614929,-51.18000030517578,-0.5653983950614929,0.42045140266418457,-55.079166412353516,,
97,1959,,,,,,,,,,,-51.87300109863281,-55.08890914916992
,1960,,,197.36852097511292,,,,,,,,,
98,1979,,,,,,,,,,,-51.875999450683594,-55.06425476074219
,1980,,,207.93368649482727,,,,,,,,,
,1999,,,,,5222.800016403198,,,,,,,
,1999,,,,46.1125373840332,,,,,,,,
