epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
14,,479,,,,0.6979840993881226,-93.0,-96.953125,,
14,,479,,,,,,,-92.68699645996094,-95.98712158203125
,,480,568.8265807628632,,,,,,,
,0.0001,480,,,,,,,,
,,489,,,7825.408220291138,,,,,
,,489,,26.726961135864258,,,,,,
15,,489,,,,0.6879192590713501,-93.75,-97.80208587646484,,
,,499,,,7667.962312698364,,,,,
,,499,,45.162200927734375,,,,,,
15,,499,,,,0.6907860636711121,-94.40625,-98.6953125,,
,,509,,,7988.788366317749,,,,,
,,509,,26.401996612548828,,,,,,
15,,509,,,,0.6868777275085449,-93.53125,-97.74739837646484,,
15,,511,,,,,,,-92.61799621582031,-95.99712371826172
,,512,475.6207127571106,,,,,,,
,0.0001,512,,,,,,,,
,,519,,,7989.198923110962,,,,,
,,519,,27.572154998779297,,,,,,
16,,519,,,,0.685468316078186,-93.59375,-97.65755462646484,,
,,529,,,8036.159992218018,,,,,
,,529,,26.744365692138672,,,,,,
16,,529,,,,0.6885649561882019,-93.5,-97.78776550292969,,
,,539,,,8096.681356430054,,,,,
,,539,,27.849674224853516,,,,,,
16,,539,,,,0.689396858215332,-93.96875,-97.97917175292969,,
16,,543,,,,,,,-92.67900085449219,-96.06625366210938
,,544,469.783814907074,,,,,,,
,0.0001,544,,,,,,,,
,,549,,,7946.526765823364,,,,,
,,549,,27.467727661132812,,,,,,
17,,549,,,,0.6837155222892761,-93.78125,-97.87890625,,
,,559,,,7683.341503143311,,,,,
,,559,,25.873422622680664,,,,,,
17,,559,,,,0.6882679462432861,-92.59375,-96.65234375,,
,,569,,,7627.411842346191,,,,,
,,569,,25.65312385559082,,,,,,
17,,569,,,,0.6858466267585754,-92.6875,-96.83984375,,
17,,575,,,,,,,-92.68699645996094,-96.03529357910156
,,576,460.3691637516022,,,,,,,
,0.0001,576,,,,,,,,
,,579,,,10423.137664794922,,,,,
,,579,,27.834415435791016,,,,,,
18,,579,,,,0.6901657581329346,-92.84375,-97.06510925292969,,
,,589,,,10023.082733154297,,,,,
,,589,,26.542186737060547,,,,,,
18,,589,,,,0.6899627447128296,-93.375,-97.46484375,,
,,599,,,10445.544481277466,,,,,
,,599,,46.373844146728516,,,,,,
