run,descriptor,probe_count,n_subsets,rho_min,rho_median,rho_max,nn_median_of_subsets,nn_worst,false_skip_median,false_skip_worst
matched_warm_seed1,kappa_full,4,70,0.5404775918160228,0.5604987883466686,0.5785698112832397,0.0020081531524658303,0.002343277740478822,0.0,0.0
matched_warm_seed1,kappa_full,8,1,0.5521340930941558,0.5521340930941558,0.5521340930941558,0.0020081531524658303,0.0020081531524658303,0.0,0.0
matched_warm_seed1,kappa_early,1,8,0.5569401556884765,0.5738643350719277,0.6133565271406755,0.001775371551513416,0.0024456207275393993,0.0,0.0
matched_warm_seed1,kappa_early,2,28,0.5504624918363847,0.5696149342408718,0.5923761226228897,0.001775371551513416,0.0024427135467530725,0.0,0.0
matched_warm_seed1,kappa_early,4,70,0.5424573412157984,0.5656335407646589,0.5821093805039692,0.001775371551513416,0.002343277740478822,0.0,0.0
matched_warm_seed1,kappa_early,8,1,0.5532903440208874,0.5532903440208874,0.5532903440208874,0.001775371551513416,0.001775371551513416,0.0,0.0
matched_warm_seed1,initial_unit_per_probe,1,8,0.7710400928810366,0.8461617493620119,0.8657087247251778,0.0013301193237307274,0.0015138965606689148,0.125,0.125
matched_warm_seed1,initial_unit_per_probe,2,28,0.7480090214209068,0.8441339349323184,0.8682563210875274,0.0013301193237307274,0.0013943172454835562,0.125,0.125
matched_warm_seed1,initial_unit_per_probe,4,70,0.8158693654021443,0.8458650001800987,0.8685462300581048,0.0013301193237307274,0.0015138965606689148,0.125,0.125
matched_warm_seed1,initial_unit_per_probe,8,1,0.850797618181852,0.850797618181852,0.850797618181852,0.0012177814483642635,0.0012177814483642635,0.125,0.125
matched_warm_seed2,kappa_full,1,8,0.5653563945611164,0.5849524536761023,0.6230082542822002,0.001739375305175761,0.002343277740478822,0.0,0.0
matched_warm_seed2,kappa_full,2,28,0.5527934602346407,0.5777873392363115,0.6100021125453577,0.001771243286132762,0.0024456207275393993,0.0,0.0
matched_warm_seed2,kappa_full,4,70,0.5519001371931364,0.5715617647113824,0.5922542212579358,0.001771243286132762,0.0020081531524658303,0.0,0.0
matched_warm_seed2,kappa_full,8,1,0.5733868575311322,0.5733868575311322,0.5733868575311322,0.00170750732421876,0.00170750732421876,0.0,0.0
matched_warm_seed2,kappa_early,1,8,0.5662570691485046,0.5861276844076649,0.622295405534169,0.001771243286132762,0.002343277740478822,0.0,0.0
matched_warm_seed2,kappa_early,2,28,0.5525874430416017,0.5780648204935837,0.6109946894371918,0.001771243286132762,0.002343277740478822,0.0,0.0
matched_warm_seed2,kappa_early,4,70,0.5526822913192103,0.5741509368520227,0.595672879042781,0.00170750732421876,0.0020081531524658303,0.0,0.0
matched_warm_seed2,kappa_early,8,1,0.5749979830407348,0.5749979830407348,0.5749979830407348,0.00170750732421876,0.00170750732421876,0.0,0.0
matched_warm_seed2,initial_unit_per_probe,1,8,0.8128187322701055,0.8525796652514677,0.8758227839586233,0.0013416080474855097,0.001449698638916086,0.125,0.125
matched_warm_seed2,initial_unit_per_probe,2,28,0.8128514447730594,0.8506385489470372,0.8728954883207869,0.0013301193237307274,0.0015138965606689148,0.125,0.125
matched_warm_seed2,initial_unit_per_probe,4,70,0.8212339102414501,0.8550304878575137,0.8686674434711787,0.0013301193237307274,0.0015138965606689148,0.125,0.125
matched_warm_seed2,initial_unit_per_probe,8,1,0.8529118313567765,0.8529118313567765,0.8529118313567765,0.0013301193237307274,0.0013301193237307274,0.125,0.125
external_scratch_seed1,kappa_full,1,8,0.41466325980626084,0.4505126025738093,0.5133597333723047,0.007244617652893304,0.007488506698608344,0.10512820512820513,0.14285714285714285
external_scratch_seed1,kappa_full,2,28,0.43416936811437107,0.4573322385198366,0.49764605109227505,0.006888439178466488,0.007681481933593748,0.07692307692307693,0.13333333333333333
external_scratch_seed1,kappa_full,4,70,0.4412035343700465,0.4553989579865254,0.4821159255550894,0.006888439178466488,0.007681481933593748,0.07692307692307693,0.07692307692307693
external_scratch_seed1,kappa_full,8,1,0.4543622181935716,0.4543622181935716,0.4543622181935716,0.006888439178466488,0.006888439178466488,0.07692307692307693,0.07692307692307693
external_scratch_seed1,kappa_early,1,8,0.4154090083911126,0.4538882648520825,0.5081342351397777,0.006888439178466488,0.007681481933593748,0.13333333333333333,0.17647058823529413
external_scratch_seed1,kappa_early,2,28,0.4342902685359922,0.45684316200567066,0.4954542559985016,0.006888439178466488,0.007681481933593748,0.07692307692307693,0.14285714285714285
external_scratch_seed1,kappa_early,4,70,0.44311093859518363,0.4548101705811518,0.47900320711565697,0.006888439178466488,0.007681481933593748,0.07692307692307693,0.07692307692307693
external_scratch_seed1,kappa_early,8,1,0.4555548259740145,0.4555548259740145,0.4555548259740145,0.006888439178466488,0.006888439178466488,0.07692307692307693,0.07692307692307693
external_scratch_seed1,initial_unit_per_probe,1,8,0.5541237273734868,0.6285402287744724,0.6866844811565552,0.006539831542968777,0.007681481933593748,0.06666666666666667,0.06666666666666667
external_scratch_seed1,initial_unit_per_probe,2,28,0.573030920146961,0.6257430125116029,0.6716386961776196,0.006539831542968777,0.007681481933593748,0.06666666666666667,0.06666666666666667
external_scratch_seed1,initial_unit_per_probe,4,70,0.5982979539261926,0.624954823164529,0.6535895578827083,0.006302953910827469,0.007681481933593748,0.06666666666666667,0.06666666666666667
external_scratch_seed1,initial_unit_per_probe,8,1,0.6273662420679361,0.6273662420679361,0.6273662420679361,0.006143544387817279,0.006143544387817279,0.06666666666666667,0.06666666666666667
external_scratch_seed2,kappa_full,1,8,0.4544034825660785,0.474476422284265,0.503967587341434,0.006839234352111534,0.007029343414306943,0.13333333333333333,0.1875
external_scratch_seed2,kappa_full,2,28,0.46283509883471813,0.4825719310483418,0.5001238749775293,0.006617299652099895,0.006888439178466488,0.07692307692307693,0.14285714285714285
external_scratch_seed2,kappa_full,4,70,0.4692024183673754,0.4838394489744937,0.4979461015057543,0.006143544387817279,0.006888439178466488,0.07692307692307693,0.14285714285714285
external_scratch_seed2,kappa_full,8,1,0.4865197058594226,0.4865197058594226,0.4865197058594226,0.006462363433837659,0.006462363433837659,0.07692307692307693,0.07692307692307693
external_scratch_seed2,kappa_early,1,8,0.4564404970728246,0.4748969912259602,0.5082109218287348,0.006888439178466488,0.007174821090698558,0.13333333333333333,0.23529411764705882
external_scratch_seed2,kappa_early,2,28,0.4676347319226528,0.4833359609361696,0.5045460972336757,0.006617299652099895,0.006888439178466488,0.13333333333333333,0.14285714285714285
external_scratch_seed2,kappa_early,4,70,0.4721274429319926,0.4864973804693871,0.500356494575485,0.006143544387817279,0.006888439178466488,0.07692307692307693,0.14285714285714285
external_scratch_seed2,kappa_early,8,1,0.487571985780607,0.487571985780607,0.487571985780607,0.006462363433837659,0.006462363433837659,0.07692307692307693,0.07692307692307693
external_scratch_seed2,initial_unit_per_probe,1,8,0.6147777641835452,0.6574280082379995,0.7174992123048185,0.007584994316101046,0.007681481933593748,0.06666666666666667,0.06666666666666667
external_scratch_seed2,initial_unit_per_probe,2,28,0.6174761641356272,0.6590835610418949,0.7029059886113714,0.006617299652099895,0.007681481933593748,0.06666666666666667,0.06666666666666667
external_scratch_seed2,initial_unit_per_probe,4,70,0.6349811209459959,0.6612181883043062,0.6924157033055708,0.006617299652099895,0.007681481933593748,0.06666666666666667,0.06666666666666667
external_scratch_seed2,initial_unit_per_probe,8,1,0.6616444467530701,0.6616444467530701,0.6616444467530701,0.006143544387817279,0.006143544387817279,0.06666666666666667,0.06666666666666667
