problem,problem_label,condition,condition_label,target_size,bin,delta_cost_min,delta_cost_max,delta_cost_mid,weight_mean,weight_q25,weight_q75,count
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,7.0,0.01077890396118164,0.013781547546386719,0.012386322021484375,1.4257998786065604,0.38376572728157043,2.5,1051.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,8.0,0.013782024383544922,0.018316268920898438,0.015902042388916016,1.6523109549444925,0.40682829171419144,2.5,1074.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,9.0,0.01831674575805664,0.026587963104248047,0.021842002868652344,1.690358308023055,0.6018866300582886,2.5,1048.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,10.0,0.02658843994140625,0.05280780792236328,0.03631448745727539,1.9638819762428343,1.2731740474700928,2.5,1073.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,11.0,0.052808284759521484,0.4490642547607422,0.12597322463989258,2.387913049443772,2.5,2.5,1064.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,12.0,0.44910430908203125,0.9777698516845703,0.7844207286834717,2.5,2.5,2.5,1058.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,13.0,0.977846622467041,1.165113925933838,1.0680365562438965,2.5,2.5,2.5,1064.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,14.0,1.1651182174682617,1.391984462738037,1.2639565467834473,2.5,2.5,2.5,1054.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,15.0,1.3919849395751953,1.5974888801574707,1.464066505432129,2.5,2.5,2.5,1063.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,16.0,1.597489356994629,1.7831883430480957,1.6868939399719238,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,17.0,1.783188819885254,2.0777220726013184,1.9083948135375977,2.5,2.5,2.5,1065.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,18.0,2.079280376434326,2.434229850769043,2.1791491508483887,2.5,2.5,2.5,1061.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,19.0,2.438498020172119,2.8626441955566406,2.6089162826538086,2.5,2.5,2.5,1060.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,20.0,2.862644672393799,3.557490348815918,3.1104984283447266,2.5,2.5,2.5,1062.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,21.0,3.557492733001709,5.111260414123535,4.278817176818848,2.5,2.5,2.5,1060.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,22.0,5.111260890960693,8.126226425170898,6.454626083374023,2.5,2.5,2.5,1059.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,23.0,8.132701873779297,15.500428199768066,10.290446758270264,2.5,2.5,2.5,1064.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,0.0,1.9073486328125e-06,0.019979476928710938,0.01020050048828125,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,1.0,0.01998138427734375,0.04147911071777344,0.03045654296875,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,2.0,0.041484832763671875,0.06388568878173828,0.05257129669189453,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,3.0,0.06389617919921875,0.085845947265625,0.07507514953613281,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
